Name_p1,Type_1_p1,Type_2_p1,HP_p1,Attack_p1,Defense_p1,SpAtk_p1,SpDef_p1,Speed_p1,Generation_p1,Legendary_p1,Name_p2,Type_1_p2,Type_2_p2,HP_p2,Attack_p2,Defense_p2,SpAtk_p2,SpDef_p2,Speed_p2,Generation_p2,Legendary_p2,label
342,15,10,50.0,64.0,50.0,45.0,50.0,41.0,2.0,0,492,9,1,70,70,40,60,40,60,3,0,1
372,5,17,70.0,80.0,50.0,35.0,35.0,35.0,1.0,0,492,9,1,70,70,40,60,40,60,3,0,1
757,17,10,110.0,78.0,73.0,76.0,71.0,60.0,3.0,0,492,9,1,70,70,40,60,40,60,3,0,1
191,3,7,50.0,65.0,107.0,105.0,107.0,86.0,4.0,0,492,9,1,70,70,40,60,40,60,3,0,0
774,12,17,73.0,115.0,60.0,60.0,60.0,90.0,3.0,0,492,9,1,70,70,40,60,40,60,3,0,0
197,9,16,44.0,50.0,91.0,24.0,86.0,10.0,5.0,0,492,9,1,70,70,40,60,40,60,3,0,1
356,6,12,62.0,50.0,58.0,73.0,54.0,72.0,6.0,0,492,9,1,70,70,40,60,40,60,3,0,0
252,14,17,70.0,55.0,95.0,95.0,110.0,65.0,5.0,0,492,9,1,70,70,40,60,40,60,3,0,0
593,17,17,80.0,92.0,65.0,65.0,80.0,68.0,1.0,0,492,9,1,70,70,40,60,40,60,3,0,0
683,9,17,100.0,100.0,125.0,110.0,50.0,50.0,4.0,0,492,9,1,70,70,40,60,40,60,3,0,1
616,14,7,72.0,58.0,80.0,103.0,80.0,97.0,5.0,0,492,9,1,70,70,40,60,40,60,3,0,0
535,12,17,85.0,80.0,70.0,135.0,75.0,90.0,4.0,0,492,9,1,70,70,40,60,40,60,3,0,0
672,13,17,100.0,73.0,83.0,73.0,83.0,55.0,3.0,0,492,9,1,70,70,40,60,40,60,3,0,1
672,13,17,100.0,73.0,83.0,73.0,83.0,55.0,3.0,0,492,9,1,70,70,40,60,40,60,3,0,1
646,12,7,40.0,60.0,30.0,31.0,31.0,70.0,1.0,0,492,9,1,70,70,40,60,40,60,3,0,0
44,14,17,75.0,75.0,75.0,125.0,95.0,40.0,5.0,0,492,9,1,70,70,40,60,40,60,3,0,1
625,13,0,40.0,50.0,90.0,30.0,55.0,65.0,4.0,0,492,9,1,70,70,40,60,40,60,3,0,0
257,8,9,85.0,100.0,122.0,58.0,75.0,54.0,6.0,0,492,9,1,70,70,40,60,40,60,3,0,1
605,0,8,1.0,90.0,45.0,30.0,30.0,40.0,3.0,0,492,9,1,70,70,40,60,40,60,3,0,1
286,6,7,106.0,130.0,90.0,110.0,154.0,90.0,2.0,1,492,9,1,70,70,40,60,40,60,3,0,0
479,13,10,90.0,92.0,87.0,75.0,85.0,76.0,1.0,0,492,9,1,70,70,40,60,40,60,3,0,0
626,13,18,50.0,60.0,60.0,60.0,60.0,30.0,6.0,0,492,9,1,70,70,40,60,40,60,3,0,1
262,9,17,75.0,89.0,85.0,55.0,65.0,36.0,4.0,0,492,9,1,70,70,40,60,40,60,3,0,1
507,0,9,35.0,70.0,55.0,45.0,55.0,25.0,1.0,0,492,9,1,70,70,40,60,40,60,3,0,1
32,12,4,50.0,20.0,40.0,20.0,40.0,20.0,3.0,0,492,9,1,70,70,40,60,40,60,3,0,1
303,12,4,115.0,45.0,20.0,45.0,25.0,20.0,1.0,0,492,9,1,70,70,40,60,40,60,3,0,1
18,6,17,90.0,110.0,80.0,100.0,80.0,95.0,1.0,0,492,9,1,70,70,40,60,40,60,3,0,0
213,17,17,41.0,56.0,40.0,62.0,44.0,71.0,6.0,0,492,9,1,70,70,40,60,40,60,3,0,0
686,17,13,40.0,40.0,35.0,50.0,100.0,70.0,1.0,0,492,9,1,70,70,40,60,40,60,3,0,0
698,6,17,45.0,60.0,40.0,70.0,50.0,45.0,3.0,0,492,9,1,70,70,40,60,40,60,3,0,1
595,9,17,40.0,40.0,50.0,30.0,30.0,30.0,3.0,0,492,9,1,70,70,40,60,40,60,3,0,1
595,9,17,40.0,40.0,50.0,30.0,30.0,30.0,3.0,0,492,9,1,70,70,40,60,40,60,3,0,1
512,12,17,65.0,70.0,60.0,65.0,65.0,115.0,1.0,0,492,9,1,70,70,40,60,40,60,3,0,0
459,17,17,95.0,60.0,79.0,100.0,125.0,81.0,3.0,0,492,9,1,70,70,40,60,40,60,3,0,0
349,12,17,110.0,85.0,95.0,80.0,95.0,50.0,4.0,0,492,9,1,70,70,40,60,40,60,3,0,1
717,5,17,35.0,35.0,35.0,35.0,35.0,35.0,2.0,0,492,9,1,70,70,40,60,40,60,3,0,1
733,10,2,50.0,70.0,50.0,50.0,50.0,70.0,3.0,0,492,9,1,70,70,40,60,40,60,3,0,0
350,12,17,90.0,55.0,75.0,60.0,75.0,30.0,1.0,0,492,9,1,70,70,40,60,40,60,3,0,1
25,11,7,90.0,85.0,100.0,95.0,125.0,85.0,1.0,1,492,9,1,70,70,40,60,40,60,3,0,0
258,4,17,90.0,120.0,75.0,60.0,60.0,45.0,2.0,0,492,9,1,70,70,40,60,40,60,3,0,1
223,2,10,108.0,130.0,95.0,80.0,85.0,102.0,4.0,0,492,9,1,70,70,40,60,40,60,3,0,0
51,15,18,42.0,52.0,67.0,39.0,56.0,50.0,6.0,0,492,9,1,70,70,40,60,40,60,3,0,1
636,12,17,55.0,20.0,35.0,20.0,45.0,75.0,2.0,0,492,9,1,70,70,40,60,40,60,3,0,0
724,11,17,51.0,65.0,65.0,80.0,75.0,59.0,5.0,0,492,9,1,70,70,40,60,40,60,3,0,1
298,12,4,90.0,30.0,15.0,40.0,20.0,15.0,2.0,0,492,9,1,70,70,40,60,40,60,3,0,1
640,12,17,160.0,110.0,65.0,65.0,110.0,30.0,1.0,0,492,9,1,70,70,40,60,40,60,3,0,1
423,12,5,65.0,136.0,94.0,54.0,96.0,135.0,4.0,0,492,9,1,70,70,40,60,40,60,3,0,0
155,8,7,150.0,80.0,44.0,90.0,54.0,80.0,4.0,0,492,9,1,70,70,40,60,40,60,3,0,0
291,9,7,35.0,35.0,40.0,35.0,55.0,50.0,2.0,0,492,9,1,70,70,40,60,40,60,3,0,1
574,9,13,50.0,60.0,45.0,100.0,80.0,65.0,3.0,0,492,9,1,70,70,40,60,40,60,3,0,0
75,9,17,74.0,100.0,72.0,90.0,72.0,46.0,4.0,0,492,9,1,70,70,40,60,40,60,3,0,1
498,17,17,55.0,55.0,45.0,63.0,45.0,45.0,5.0,0,492,9,1,70,70,40,60,40,60,3,0,1
755,9,4,60.0,67.0,85.0,77.0,75.0,116.0,5.0,0,492,9,1,70,70,40,60,40,60,3,0,0
530,17,17,65.0,65.0,65.0,50.0,50.0,90.0,1.0,0,492,9,1,70,70,40,60,40,60,3,0,0
324,16,17,60.0,100.0,115.0,70.0,85.0,90.0,5.0,0,492,9,1,70,70,40,60,40,60,3,0,0
121,0,15,70.0,95.0,125.0,65.0,75.0,45.0,5.0,0,492,9,1,70,70,40,60,40,60,3,0,1
301,1,14,53.0,54.0,53.0,37.0,46.0,45.0,6.0,0,492,9,1,70,70,40,60,40,60,3,0,1
342,15,10,50.0,64.0,50.0,45.0,50.0,41.0,2.0,0,675,12,7,60,85,60,50,50,125,3,0,1
689,15,5,91.0,129.0,90.0,72.0,90.0,108.0,5.0,1,675,12,7,60,85,60,50,50,125,3,0,1
513,9,17,45.0,35.0,50.0,70.0,50.0,30.0,5.0,0,675,12,7,60,85,60,50,50,125,3,0,1
347,0,7,55.0,35.0,50.0,55.0,110.0,85.0,2.0,0,675,12,7,60,85,60,50,50,125,3,0,1
34,10,14,40.0,40.0,55.0,40.0,70.0,55.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
34,10,14,40.0,40.0,55.0,40.0,70.0,55.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
706,10,17,45.0,100.0,45.0,45.0,45.0,10.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
706,10,17,45.0,100.0,45.0,45.0,45.0,10.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
510,1,16,45.0,85.0,70.0,40.0,40.0,60.0,5.0,0,675,12,7,60,85,60,50,50,125,3,0,1
583,5,17,75.0,125.0,75.0,30.0,75.0,85.0,5.0,0,675,12,7,60,85,60,50,50,125,3,0,1
224,14,4,68.0,65.0,65.0,125.0,115.0,80.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
469,3,9,50.0,65.0,107.0,105.0,107.0,86.0,4.0,0,675,12,7,60,85,60,50,50,125,3,0,1
245,15,10,80.0,120.0,130.0,55.0,65.0,45.0,1.0,0,675,12,7,60,85,60,50,50,125,3,0,1
775,3,7,90.0,90.0,85.0,125.0,90.0,100.0,1.0,1,675,12,7,60,85,60,50,50,125,3,0,1
449,12,17,40.0,45.0,35.0,40.0,40.0,90.0,1.0,0,675,12,7,60,85,60,50,50,125,3,0,1
107,8,17,58.0,50.0,145.0,95.0,105.0,30.0,5.0,0,675,12,7,60,85,60,50,50,125,3,0,1
422,2,14,80.0,130.0,100.0,160.0,120.0,110.0,3.0,1,675,12,7,60,85,60,50,50,125,3,0,1
443,9,13,80.0,100.0,123.0,122.0,120.0,80.0,1.0,0,675,12,7,60,85,60,50,50,125,3,0,1
320,14,4,38.0,35.0,35.0,65.0,55.0,50.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
44,14,17,75.0,75.0,75.0,125.0,95.0,40.0,5.0,0,675,12,7,60,85,60,50,50,125,3,0,1
427,5,14,60.0,100.0,85.0,80.0,85.0,100.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
552,17,13,65.0,95.0,75.0,55.0,55.0,85.0,2.0,0,675,12,7,60,85,60,50,50,125,3,0,1
516,17,17,80.0,80.0,80.0,80.0,80.0,80.0,4.0,0,675,12,7,60,85,60,50,50,125,3,0,1
173,13,17,35.0,60.0,44.0,40.0,54.0,55.0,1.0,0,675,12,7,60,85,60,50,50,125,3,0,1
605,0,8,1.0,90.0,45.0,30.0,30.0,40.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
280,12,17,65.0,80.0,65.0,35.0,65.0,60.0,5.0,0,675,12,7,60,85,60,50,50,125,3,0,1
280,12,17,65.0,80.0,65.0,35.0,65.0,60.0,5.0,0,675,12,7,60,85,60,50,50,125,3,0,1
384,1,7,110.0,65.0,105.0,55.0,95.0,80.0,5.0,0,675,12,7,60,85,60,50,50,125,3,0,1
579,2,7,95.0,135.0,80.0,110.0,80.0,100.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
568,14,17,110.0,65.0,75.0,125.0,85.0,30.0,5.0,0,675,12,7,60,85,60,50,50,125,3,0,1
654,17,17,44.0,48.0,65.0,50.0,64.0,43.0,1.0,0,675,12,7,60,85,60,50,50,125,3,0,1
69,0,17,40.0,29.0,45.0,29.0,45.0,36.0,4.0,0,675,12,7,60,85,60,50,50,125,3,0,1
139,14,17,50.0,180.0,20.0,180.0,20.0,150.0,3.0,1,675,12,7,60,85,60,50,50,125,3,0,0
674,17,7,75.0,87.0,63.0,87.0,63.0,98.0,5.0,0,675,12,7,60,85,60,50,50,125,3,0,1
4,16,8,60.0,150.0,50.0,150.0,50.0,60.0,6.0,0,675,12,7,60,85,60,50,50,125,3,0,1
581,10,1,50.0,72.0,35.0,35.0,35.0,65.0,5.0,0,675,12,7,60,85,60,50,50,125,3,0,1
494,9,13,45.0,50.0,55.0,75.0,65.0,30.0,1.0,0,675,12,7,60,85,60,50,50,125,3,0,1
345,9,17,65.0,110.0,130.0,60.0,65.0,95.0,4.0,0,675,12,7,60,85,60,50,50,125,3,0,1
172,12,17,55.0,55.0,50.0,45.0,65.0,55.0,1.0,0,675,12,7,60,85,60,50,50,125,3,0,1
229,15,10,40.0,80.0,100.0,30.0,30.0,20.0,1.0,0,675,12,7,60,85,60,50,50,125,3,0,1
165,8,17,40.0,70.0,130.0,60.0,130.0,25.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
471,17,17,50.0,70.0,50.0,50.0,50.0,40.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
329,10,1,60.0,82.0,45.0,45.0,45.0,74.0,5.0,0,675,12,7,60,85,60,50,50,125,3,0,1
428,16,14,80.0,145.0,150.0,105.0,110.0,110.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
346,0,9,75.0,103.0,80.0,70.0,80.0,92.0,5.0,0,675,12,7,60,85,60,50,50,125,3,0,1
455,14,17,106.0,110.0,90.0,154.0,90.0,130.0,1.0,1,675,12,7,60,85,60,50,50,125,3,0,0
611,9,1,90.0,100.0,60.0,90.0,60.0,80.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
184,0,16,70.0,135.0,105.0,60.0,105.0,20.0,5.0,0,675,12,7,60,85,60,50,50,125,3,0,0
656,12,7,85.0,120.0,70.0,50.0,60.0,100.0,4.0,0,675,12,7,60,85,60,50,50,125,3,0,1
760,14,17,190.0,33.0,58.0,33.0,58.0,33.0,2.0,0,675,12,7,60,85,60,50,50,125,3,0,1
767,14,17,95.0,23.0,48.0,23.0,48.0,23.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
744,6,17,38.0,41.0,40.0,50.0,65.0,65.0,1.0,0,675,12,7,60,85,60,50,50,125,3,0,1
319,17,17,55.0,130.0,115.0,50.0,50.0,75.0,1.0,0,675,12,7,60,85,60,50,50,125,3,0,1
218,12,17,85.0,76.0,64.0,45.0,55.0,90.0,2.0,0,675,12,7,60,85,60,50,50,125,3,0,1
629,12,17,60.0,60.0,60.0,35.0,35.0,30.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
439,17,14,95.0,75.0,180.0,130.0,80.0,30.0,1.0,0,675,12,7,60,85,60,50,50,125,3,0,1
335,16,15,60.0,90.0,140.0,50.0,50.0,40.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,0
161,10,17,35.0,80.0,50.0,50.0,70.0,120.0,1.0,0,675,12,7,60,85,60,50,50,125,3,0,1
690,5,17,120.0,100.0,85.0,30.0,85.0,45.0,5.0,0,675,12,7,60,85,60,50,50,125,3,0,0
75,9,17,74.0,100.0,72.0,90.0,72.0,46.0,4.0,0,675,12,7,60,85,60,50,50,125,3,0,1
441,17,10,100.0,150.0,110.0,95.0,110.0,70.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
491,6,10,60.0,60.0,40.0,65.0,45.0,35.0,3.0,0,675,12,7,60,85,60,50,50,125,3,0,1
243,17,17,45.0,67.0,60.0,35.0,50.0,63.0,1.0,0,675,12,7,60,85,60,50,50,125,3,0,1
199,17,17,49.0,49.0,56.0,49.0,61.0,66.0,4.0,0,675,12,7,60,85,60,50,50,125,3,0,1
597,17,10,105.0,95.0,75.0,85.0,75.0,74.0,5.0,0,675,12,7,60,85,60,50,50,125,3,0,1
342,15,10,50.0,64.0,50.0,45.0,50.0,41.0,2.0,0,555,14,4,28,25,25,45,35,40,3,0,0
477,14,7,40.0,50.0,45.0,70.0,45.0,70.0,2.0,0,555,14,4,28,25,25,45,35,40,3,0,0
580,17,17,95.0,100.0,85.0,108.0,70.0,70.0,5.0,0,555,14,4,28,25,25,45,35,40,3,0,0
